dagC19.txt 1234x1.txt 0.05 20 0.7688172043010753 True 0.5 10000000189.0 {0: [1, 3, 4, 5, 2], 1: [7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0], 2: [18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 6], 3: [36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 20]} 
dagC19.txt 1234x3.txt 0.05 20 0.9731182795698925 True 0.5 10000000074.5 {0: [0, 1], 1: [2, 3, 4, 5], 2: [6, 7, 8, 9, 10, 11], 3: [12, 13, 14, 15, 16, 17, 18, 19], 4: [20, 21], 5: [22, 23, 24, 25], 6: [26, 27, 28, 29, 30, 31], 7: [32, 33, 34, 35, 36, 37, 38, 39], 8: [40, 41], 9: [42, 43, 44, 45], 10: [46, 47, 48, 49, 50, 51], 11: [52, 53, 54, 55, 56, 57, 58, 59]} 
dagC19.txt 1234x1.txt 0.05 20 0.7096774193548387 True 0.5 10000000189.0 {0: [1, 3, 5, 24, 4], 1: [6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 2, 0], 2: [18, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 14, 23], 3: [36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 12]} 
dagC19.txt 1234x1.txt 0.07 20 0.7419354838709677 True 0.5 10000000189.75 {0: [0, 1, 3, 4, 5, 33], 1: [6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 2], 2: [18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 34, 35, 32], 3: [36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 13]} 
dagC19.txt 1234x1.txt 0.1 20 0.7311827956989247 True 0.5 10000000191.0 {0: [0, 1, 2, 3, 4], 1: [6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18], 2: [19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 5], 3: [36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 17]} 
dagC19.txt 1234x1.txt 0.05 50 0.7741935483870968 True 0.5 10000000189.0 {0: [0, 1, 2, 4, 5, 33], 1: [6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 3], 2: [18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 34, 35, 17], 3: [36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 28]} 
dagC19.txt 1234x1.txt 0.07 50 0.7473118279569892 True 0.5 10000000189.5 {0: [0, 1, 2, 4, 5, 19], 1: [6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 3], 2: [18, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 20], 3: [36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 12]} 
dagC19.txt 1234x1.txt 0.1 50 0.6827956989247311 True 0.5 10000000189.0 {0: [2, 3, 4, 5, 27], 1: [6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 1], 2: [18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 0], 3: [36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 12]} 
dagC19.txt 1234x1.txt 0.05 100 0.7043010752688172 True 0.5 10000000189.0 {0: [1, 2, 3, 4, 5], 1: [6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 27], 2: [18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 0], 3: [36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 12]} 
dagC19.txt 1234x1.txt 0.07 100 0.7580645161290323 True 0.5 10000000189.0 {0: [0, 1, 2, 3, 4, 8], 1: [6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 26], 2: [18, 19, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 5], 3: [36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 20]} 
dagC19.txt 1234x1.txt 0.1 100 0.7741935483870968 True 0.5 10000000188.666666 {0: [0, 1, 2, 4, 5, 8], 1: [6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 31], 2: [18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 3], 3: [36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 19]} 
